Timestamp,Load Cell 1
2024-08-13 13:09:50,3216.11
2024-08-13 13:09:51,1343.7
2024-08-13 13:09:52,746.344
2024-08-13 13:09:53,1644.88
2024-08-13 13:09:54,3919.29
2024-08-13 13:09:55,1461.75
2024-08-13 13:09:56,4464.86
2024-08-13 13:09:57,1908.9
2024-08-13 13:09:58,4336.63
2024-08-13 13:09:59,5426.3
2024-08-13 13:10:00,4412.81
2024-08-13 13:10:01,2510.93
2024-08-13 13:10:02,420.153
2024-08-13 13:10:03,1634.47
2024-08-13 13:10:04,6023.88
2024-08-13 13:10:05,2490.32
2024-08-13 13:10:06,4486.41
2024-08-13 13:10:07,1361.13
2024-08-13 13:10:08,2037.31,90944.9
2024-08-13 13:10:09,1465.3,21071.5
2024-08-13 13:10:10,1289.78,97905.9
2024-08-13 13:10:11,3380.39,140790
2024-08-13 13:10:12,-67.2438,21133
2024-08-13 13:10:13,3495.95,-486.628
2024-08-13 13:10:14,5582.67,35821.8
2024-08-13 13:10:15,1293.85,65353.7
2024-08-13 13:10:16,777.656,63729.6
2024-08-13 13:10:17,5644.88,159552
2024-08-13 13:10:18,1696.98,164307
2024-08-13 13:10:19,3004.69,156583
2024-08-13 13:10:20,189.855,99380.4
2024-08-13 13:10:21,2182.41,86321.2
2024-08-13 13:10:22,5130.75,90398
2024-08-13 13:10:23,149.956,127767
2024-08-13 13:10:24,-48.1794,7417.66
2024-08-13 13:10:25,3632.6,90064.5
2024-08-13 13:10:26,4923.51,32752.1
2024-08-13 13:10:27,2269.71,38060.5
2024-08-13 13:10:28,3122.7,128797
2024-08-13 13:10:29,5604.98,157621
2024-08-13 13:10:30,1606.01,88332.9
2024-08-13 13:10:31,1720.43,17122.4
2024-08-13 13:10:32,1154.51,14862.2
2024-08-13 13:10:33,2340.14,36922.4
2024-08-13 13:10:34,5499.51,51142.1
2024-08-13 13:10:35,1295.8,34267
2024-08-13 13:10:36,4338.67,152159
2024-08-13 13:10:37,2187.99,128482
2024-08-13 13:10:38,4882.05,163521
2024-08-13 13:10:39,2282.74,122331
2024-08-13 13:10:40,3968.87,143782
2024-08-13 13:10:41,4225.24,107302
2024-08-13 13:10:42,4899.92,125326
2024-08-13 13:10:43,6116.06,58711
2024-08-13 13:10:44,4611.13,107720
2024-08-13 13:10:45,2194.27,134770
2024-08-13 13:10:46,5553.99,43322.6
2024-08-13 13:10:47,6406.85,77743.8
2024-08-13 13:10:48,1083.86,27608.5
2024-08-13 13:10:49,1810.38,23669.7
2024-08-13 13:10:50,5924.64,119414
2024-08-13 13:10:51,263.51,34606.1
